fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2009,351,Prefectura del Departamento de Chuquisaca,0,0,1,ADMINISTRACION DEPARTAMENTAL,DESPACHO PREFECTURAL,0,1570900,369100,110000,0,0,0,0,0,2050000,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,2,ADMINISTRACION DEPARTAMENTAL,CONSEJO DEPARTAMENTAL,1152000,1009680,86759,58000,0,0,0,0,0,2306439,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,3,ADMINISTRACION DEPARTAMENTAL,SECRETARIA GENERAL Y COORDINACION,0,65000,83000,10000,0,0,0,0,0,158000,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,4,ADMINISTRACION DEPARTAMENTAL,SECRETARIA DEPARTAMENTAL DE HACIENDA,0,301144,173056,0,0,0,0,32800,0,507000,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,5,ADMINISTRACION DEPARTAMENTAL,SECREETARIA DEPARTAMENTAL JURIDICA,0,85890,73618,68568,0,0,0,0,0,228076,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,6,ADMINISTRACION DEPARTAMENTAL,SUB-PREFECTURAS,0,239800,206000,19220,0,0,0,0,0,465020,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,7,ADMINISTRACION DEPARTAMENTAL,DIRECCION DE AUDITORIA INTERNA,0,30300,34200,16000,0,0,0,0,0,80500,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,8,ADMINISTRACION DEPARTAMENTAL,INSTITUCIONAL (GRUPO 10000),8274415,0,0,0,0,0,0,0,0,8274415,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,9,ADMINISTRACION DEPARTAMENTAL,SECRETARIA DEPARTAMENTAL DE PLANIFICACION,0,173500,102650,10000,0,0,0,0,0,286150,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,10,ADMINISTRACION DEPARTAMENTAL,AREA DE SERVICIOS BASICOS Y GENERALES,0,2931960,474190,93850,0,0,0,0,200000,3700000,PD
2009,351,Prefectura del Departamento de Chuquisaca,0,0,11,ADMINISTRACION DEPARTAMENTAL,OFICINA ENLACE LA PAZ,0,61300,6700,0,0,0,0,0,0,68000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,0,1,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,SECRETARIA DPTAL. DE RR.NN. Y MEDIO AMBIENTE - SUPERVISION,874934,123168,74682,0,0,0,0,0,0,1072784,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,0,70,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,PROGRAMA DE ORDENAMIENTO TERRITORIAL Y LIMITES,449219,1154520,246261,0,0,0,0,0,0,1850000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,0,71,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,PROGRAMA DE GESTION AMBIENTAL,256975,201610,88210,0,0,0,0,0,0,546795,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,0,73,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,PROGR. FORTALEC. A GEST.INTEGR.DE BIODIVERS.A. PROTEG.4 REG.,188194,532605,129201,0,0,0,0,0,0,850000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,0,80,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,PROGRAMA DE COMUNIDADES Y PUEBLOS ORIGINARIOS,123134,197500,276720,22646,0,0,0,0,0,620000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,1,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA ZUDAÑEZ,123105,23060,14721,739114,0,0,0,0,0,900000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,2,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL DE LA CUENCA ESCANA,121876,32109,19337,131678,0,0,0,0,0,305000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,3,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL DE CUENCA PARAPETY,123105,23060,14721,1339114,0,0,0,0,0,1500000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,4,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO CONTROL TORRENT. QBDA. TUNAS MAYU-YAMPARAEZ,11207,9933,4224,874636,0,0,0,0,0,900000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,5,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL DE CUENCA TAPERILLAS,121876,32109,19337,166678,0,0,0,0,0,340000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,6,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA RIO PESCADO,171150,32109,19338,427403,0,0,0,0,0,650000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,7,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL DE CUENCA SAPIRANGUIMIRI,140301,52602,20228,206869,0,0,0,0,0,420000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,8,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA CAMARGO,152913,27060,32472,457555,0,0,0,0,0,670000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,9,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA LA TORRE-LIME,174984,46864,360923,3977229,0,0,0,0,0,4560000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,10,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA RÍO CHICO,231965,86920,44847,3501188,0,0,0,0,0,3864920,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,11,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,FOREST. REFOREST. Y PRACTICAS AGROFORESTERIA CHUQ,287693,318640,318867,74800,0,0,0,0,0,1000000,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,12,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,FOREST. PRACTICA AGROFORESTAL REGION CHUQUISACA CENTRO,35772,24846,13000,0,0,0,0,0,0,73618,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,13,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,FOREST. PRACTICAS MANEJO AGROFORESTAL REGION LOS CINTIS,11701,28257,10050,4500,0,0,0,0,0,54508,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,14,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO CUENCAS REGIONES RIO AZERO DPTO. CHUQUISACA,0,0,0,2418200,0,0,0,0,0,2418200,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,15,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,"MANEJO INTEGRAL CUENCAS ROSAS MAYU, CHALLHUA MAYU Y AGUA DE",0,0,0,1388834,0,0,0,0,0,1388834,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,16,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,MANEJO INTEGRAL BIODIVERSIDAD 4 REGIONES CHUQUISACA,134935,204524,34059,3675,0,0,0,0,0,377193,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,17,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,FOREST. PRACTICA MANEJO AGROFORESTAL CHACO CHUQUISACA,18660,26100,12900,0,0,0,0,0,0,57660,PD
2009,351,Prefectura del Departamento de Chuquisaca,10,18,0,CONSERVACION Y PRESERVACION DEL MEDIO AMBIENTE,FOREST. PRACTICAS MANEJO AGROFORESTAL REG. CHUQ. NORTE,27372,35600,10020,0,0,0,0,0,0,72992,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,-1,-1,DESARROLLO DE LA ELECTRIFICACION,NO DECLARADO,0,0,0,10938486,0,0,0,0,0,10938486,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,1,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L.ELÉCTRICAS MT, BT Y PT CANTÓN FERNÁNDEZ",0,0,0,1577714,0,0,0,0,0,1577714,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,2,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L.ELECTRICAS MT, BT Y  PT S.J. PIRAÍ-R. INGRE-AÑIMBO-",0,0,0,11839253,0,0,0,0,0,11839253,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,3,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L.ELÉCT. MT,BT Y PT TICUCHA-ZAPALLAR-VALLECITOS",0,0,0,2216000,0,0,0,0,0,2216000,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,4,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN CULPINA-FASE II,0,0,0,5152047,0,0,0,0,0,5152047,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,5,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN KHATALLA-S. MIGUEL DE IRACOTA,0,0,0,800370,0,0,0,0,0,800370,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,6,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL ARPAJA ALTA (INCAHUASI),0,0,0,825169,0,0,0,0,0,825169,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,7,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL ARPAJA BAJA (INCAHUASI),0,0,0,465515,0,0,0,0,0,465515,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,8,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL AYOMITA (INCAHUASI),0,0,0,749782,0,0,0,0,0,749782,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,9,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. ELECTRIF. RURAL CARACOLLO, LECORI Y KUMUNI (S. LUCAS)",0,0,0,920104,0,0,0,0,0,920104,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,10,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL CHAQUI MAYU BANDA (INCAHUASI),0,0,0,534091,0,0,0,0,0,534091,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,11,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL TAP-IVO IVO,0,0,0,497409,0,0,0,0,0,497409,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,12,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. LINEAS ELEC. MT, BT Y PT CUEVO - HUACAYA",0,0,0,19762,0,0,0,0,0,19762,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,13,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL LAGUNILLAS MUYUPAMPA,0,0,0,2121000,0,0,0,0,0,2121000,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,14,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL CARAPARI,0,0,0,859224,0,0,0,0,0,859224,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,15,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL SIVINGA MAYU PUCA LOMA,0,0,0,877662,0,0,0,0,0,877662,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,16,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL LA BARRANCA SIJCHA ALTA Y BAJA,0,0,0,718164,0,0,0,0,0,718164,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,17,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL PISYLI  ICHUPAMPA PUCATAMBO,0,0,0,4060402,0,0,0,0,0,4060402,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,18,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL TURUPAMPA RECALDE,0,0,0,878590,0,0,0,0,0,878590,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,19,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL PALACIO TAMBO ACCHILLA,0,0,0,1784041,0,0,0,0,0,1784041,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,20,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL ACHATALAS AMANCAYA,0,0,0,760452,0,0,0,0,0,760452,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,21,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL SAPSE KORIPUNKU,0,0,0,1286864,0,0,0,0,0,1286864,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,22,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL PASOPAYITA PASOPAYA,0,0,0,1118803,0,0,0,0,0,1118803,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,23,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL ENTRERIOS,0,0,0,3570932,0,0,0,0,0,3570932,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,24,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL SOCPORA SANTA ROSA SATOYA,0,0,0,2230821,0,0,0,0,0,2230821,PD
2009,351,Prefectura del Departamento de Chuquisaca,11,25,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECT. RURAL CABRA CANCHA ALISOS MAYO,0,0,0,1500000,0,0,0,0,0,1500000,PD
